Date,Price,Open,High,Low,Vol,Change%
19-11-2010,132.1999969,131.4799957,132.3500061,131.0099945,14146400,0.08
22-11-2010,133.4799957,132.1300049,133.6000061,131.6900024,13093400,0.97
23-11-2010,134.4100037,133.6000061,135.0700073,133.4600067,18215200,0.7
24-11-2010,134.1799927,134.3600006,134.6999969,133.7400055,8858100,-0.17
26-11-2010,133.1100006,132.3800049,133.1600037,131.9299927,7822400,-0.8
29-11-2010,133.5099945,133.1900024,133.75,132.3300018,13983800,0.3
30-11-2010,135.4199982,135.2100067,135.75,134.7799988,17473100,1.43
01-12-2010,135.3800049,135.7100067,136.1399994,134.9600067,16831100,-0.03
02-12-2010,135.1999969,135.6199951,136.5899963,135.1499939,17583800,-0.13
03-12-2010,138.0700073,136.6199951,138.1100006,136.4799957,16517200,2.12
06-12-2010,139.1100006,138.1399994,139.4600067,137.7299957,15640800,0.75
07-12-2010,136.5,139.4600067,139.5399933,136.4600067,26490400,-1.88
08-12-2010,134.7899933,135.9100037,136.2899933,133.8800049,23483300,-1.25
09-12-2010,135.3699951,135.6900024,136.1600037,134.8800049,14157600,0.43
10-12-2010,135.4100037,134.9400024,135.4799957,133.9499969,11937900,0.03
13-12-2010,136.0500031,136.2599945,136.6399994,135.8600006,13352400,0.47
14-12-2010,136.1799927,136.2700043,137.2100067,135.8600006,17430800,0.1
15-12-2010,134.6999969,135.3399963,135.9299927,134.6799927,15089500,-1.09
16-12-2010,133.8099976,134.2100067,134.2299957,132.8600006,23463000,-0.66
17-12-2010,134.1999969,133.9700012,134.6300049,133.2200012,17213000,0.29
20-12-2010,135.1100006,135.1300049,135.4400024,134.3300018,13142300,0.68
21-12-2010,135.3200073,135.1699982,135.7799988,134.7899933,10235600,0.16
22-12-2010,135.0500031,135.6000061,135.6999969,134.9700012,7300600,-0.2
23-12-2010,134.6600037,134.2599945,134.8999939,133.9299927,8700800,-0.29
27-12-2010,135.0200043,134.9600067,135.0599976,134.4900055,3436400,0.27
28-12-2010,137.2200012,136.8500061,137.3399963,136.6199951,10111800,1.63
29-12-2010,137.7100067,137.3800049,138.0500031,137.1900024,8442300,0.36
30-12-2010,137.0299988,137.5800018,137.7100067,136.9400024,5749400,-0.49
31-12-2010,138.7200012,137.7799988,138.7700043,137.7200012,9219800,1.23
03-01-2011,138,138.6699982,139,137.8800049,11510200,-0.52
04-01-2011,134.75,136.2400055,136.2799988,134.1600037,26154300,-2.36
05-01-2011,134.3699951,133.5,134.6799927,133.1000061,16700900,-0.28
06-01-2011,133.8300018,134.0500031,134.3800049,133.1399994,15965300,-0.4
07-01-2011,133.5800018,133.3800049,134.6100006,133.1799927,16761400,-0.19
10-01-2011,134.1199951,133.8500061,134.1999969,133.2400055,8429900,0.4
11-01-2011,134.9100037,134.7899933,135.1600037,133.9600067,10268400,0.59
12-01-2011,135.4600067,134.7899933,135.5800018,134.3500061,10785100,0.41
13-01-2011,134.0500031,135.6600037,135.6799927,133.6300049,14294600,-1.04
14-01-2011,132.6900024,133.1699982,133.6000061,132.2200012,21224900,-1.01
18-01-2011,133.4299927,133.6300049,134,133.1699982,11592900,0.56
19-01-2011,133.7200012,134.3399963,134.3999939,133.3999939,11788100,0.22
20-01-2011,131.1999969,131.7599945,132.1000061,131.0399933,24362900,-1.88
21-01-2011,131.0299988,130.7599945,131.4299927,130.5299988,19488400,-0.13
24-01-2011,130.3600006,131.0099945,131.6300049,130.1399994,15127200,-0.51
25-01-2011,130.1000061,129.6499939,130.2700043,129.0700073,22219700,-0.2
26-01-2011,131.1600037,129.8300018,131.1699982,129.2799988,20543000,0.81
27-01-2011,127.9300003,130.2899933,130.4900055,127.8000031,33047000,-2.46
28-01-2011,130.2799988,127.9700012,131.4799957,127.9499969,28091500,1.84
31-01-2011,129.8699951,129.2700043,130.5099945,129.25,14664100,-0.31
01-02-2011,130.8000031,130.5200043,131.0800018,129.3300018,15363700,0.72
02-02-2011,130.4499969,130.3699951,130.6000061,129.4499969,10082000,-0.27
03-02-2011,132.1999969,130.0700073,132.3200073,129.2799988,17374700,1.34
04-02-2011,131.6600037,131.8399963,132.6999969,131.2299957,15214300,-0.41
07-02-2011,131.6799927,131.6699982,131.9499969,131.2299957,7176300,0.02
08-02-2011,133.1399994,132.9600067,133.5,132.8000031,16220900,1.11
09-02-2011,133.0700073,133.1900024,133.3899994,132.4900055,10178400,-0.05
10-02-2011,132.8500061,132.1100006,133.3099976,132,8105200,-0.17
11-02-2011,132.3200073,133.0099945,133.4400024,132.0899963,9888600,-0.4
14-02-2011,132.9499969,132.9499969,133.3800049,132.6999969,8694200,0.48
15-02-2011,133.9700012,133.8600006,134.1699982,133.6300049,10111200,0.77
16-02-2011,134.1000061,134.2299957,134.8600006,133.4499969,12822800,0.1
17-02-2011,135.0399933,134.7400055,135.1600037,134.4700012,11322200,0.7
18-02-2011,135.4100037,135.1699982,135.8000031,134.8800049,15890100,0.27
22-02-2011,136.2899933,136.9199982,137.2200012,136.1900024,16676100,0.65
23-02-2011,137.5099945,136.9700012,138.1999969,136.9199982,15685700,0.9
24-02-2011,136.4799957,138.0399933,138.1399994,135.7299957,18781700,-0.75
25-02-2011,137.3800049,137.2200012,137.7400055,136.7700043,10351400,0.66
28-02-2011,137.6600037,137.6499939,138.1399994,137.0299988,8847000,0.2
01-03-2011,140.0299988,138.5700073,140.0299988,138.4900055,17438100,1.72
02-03-2011,139.9199982,140.2400055,140.5500031,139.4799957,15719800,-0.08
03-03-2011,138.0899963,138.8099976,139.1300049,137.5700073,16485000,-1.31
04-03-2011,139.3500061,138.6300049,139.75,138.6100006,17454600,0.91
07-03-2011,139.7200012,140.2899933,140.6100006,139.2799988,14068900,0.27
08-03-2011,139.3600006,139.6499939,139.6600037,138.8300018,10730500,-0.26
09-03-2011,139.4100037,139.9199982,139.9499969,138.9400024,8736400,0.04
10-03-2011,137.7700043,138.5,138.5,136.8500061,15559100,-1.18
11-03-2011,138.2200012,137.2899933,138.9299927,137.1799927,10416900,0.33
14-03-2011,138.8600006,139.3300018,139.5500031,138.6100006,10239300,0.46
15-03-2011,136.2700043,135.3500061,136.9400024,135.2299957,23465100,-1.87
16-03-2011,136.2400055,136.5200043,137.1999969,135.8000031,13392500,-0.02
17-03-2011,136.9700012,136.5599976,137.0800018,136.25,9117400,0.54
18-03-2011,138.3699951,138.1399994,138.8300018,137.7599945,18602000,1.02
21-03-2011,139.1399994,139.5,139.9100037,138.9700012,13742500,0.56
22-03-2011,139.0500031,138.8800049,139.3600006,138.6699982,9553700,-0.06
23-03-2011,140.3399963,139.6100006,140.5500031,139.5500031,11541000,0.93
24-03-2011,139.2200012,140.2700043,141.2799988,138.8300018,17016600,-0.8
25-03-2011,139.2599945,140,140.2400055,138.6600037,13191100,0.03
28-03-2011,138.5399933,137.8200073,138.8300018,137.7799988,7656000,-0.52
29-03-2011,138.2100067,138.2100067,138.8200073,137.9400024,6345200,-0.24
30-03-2011,138.6699982,139.0700073,139.1799927,137.6799927,10749400,0.33
31-03-2011,139.8600006,140.0800018,140.3999939,139.7799988,15227300,0.86
01-04-2011,139.1999969,138.6499939,139.5500031,137.7200012,15738300,-0.47
04-04-2011,139.8399963,140.1300049,140.2599945,139.4499969,9685100,0.46
05-04-2011,142.0500031,139.5800018,142.0899963,139.5200043,18295300,1.58
06-04-2011,142.3800049,142.3999939,142.6199951,141.7700043,10710300,0.23
07-04-2011,142.5099945,142.2299957,142.8899994,141.8000031,9486800,0.09
08-04-2011,143.6600037,143.3399963,143.8399963,142.9700012,13128200,0.81
11-04-2011,142.6399994,143.2799988,143.4900055,142.2799988,10105600,-0.71
12-04-2011,141.6100006,142.7400055,142.8200073,140.75,14948100,-0.72
13-04-2011,141.8999939,142.3899994,142.5299988,141.4799957,13884200,0.2
14-04-2011,143.8099976,142.3500061,143.8300018,142.2299957,14174100,1.35
15-04-2011,145.0500031,143.8500061,145.1199951,143.5700073,19121600,0.86
18-04-2011,145.9299927,145.2100067,146.0700073,144.6300049,17340100,0.61
19-04-2011,145.9299927,145.7299957,146.2400055,145.1799927,10950100,0
20-04-2011,146.5,146.3699951,146.8399963,145.7400055,13716800,0.39
21-04-2011,146.7400055,146.5700073,147.0599976,146.3200073,10109400,0.16
25-04-2011,146.8699951,147.5700073,147.5800018,146.4199982,15596400,0.09
26-04-2011,146.3800049,146.4700012,146.6199951,145.4799957,16200000,-0.33
27-04-2011,149.1999969,147.3800049,149.2100067,146.5200043,21945900,1.93
28-04-2011,149.8200073,149.3000031,150,148.6000061,20754000,0.42
29-04-2011,152.3699951,149.8999939,153.0299988,149.75,27600000,1.7
02-05-2011,150.4100037,151.4600067,153.6100006,150.3600006,24094100,-1.29
03-05-2011,149.8800049,150.4299927,150.9700012,148.8500061,24215600,-0.35
04-05-2011,147.7299957,149.8600006,150.3399963,146.7599945,35107000,-1.43
05-05-2011,143.4700012,146.8200073,147.5800018,142.5500031,51284000,-2.88
06-05-2011,145.3000031,145.2400055,146.0899963,144.3999939,24182200,1.28
09-05-2011,147.3800049,146.6699982,147.5800018,146.3399963,13854800,1.43
10-05-2011,147.8999939,147.1900024,148.1900024,146.9299927,11285200,0.35
